বাংলা,চট্টগ্রাম
আসুন,আইয়্যুন 
করো,গরো
আসো,আইয়্যু
সুবিধা,সুবিদা
হোটেলে,হোটেলত
কত,হতো
কতক্ষণ,হতোক্ষন
কতক্ষণর,হতোক্ষনর  
চলবে,চলিবু
শ্বাস,শ্বাস 
অনেক /খুব,বহুত  
আসতে,আইত  
আসবো,আইসুম
আসবি,আবি
ঢাকা,ঢাহা
লেখাপড়া,লেয়াপড়া
আসছি,আইর
লেকের,লেকোর
পড়ালেখা,পড়ালেহা
কোঁকড়া,খোডা
কয়জনের, হজনের
ঝামেলায়,জামিলাত
চলে,চলি
চলতে,চল্যিত 
ঝাপ,ঝাপ
নজরুলের,নজরুলর
ঝাপিয়ে,ঝাফাই 
ছিলাম,আসসিলাম
বাড়াবো,বাড়াইয়্যুম
তো,তো
ছাদে,সাদোত 
বাড়িয়ে,বাড়াই
সকালে ,বেইন্যে
মিথ্যা,মিছা 
দিতে,দন
শেষ,শেষ
অসুখ,অসুখ 
ঘুমাচ্ছিস,ঘুমযর 
পারিস,ফাড়োস
পারি,পারি
যানজট,যানজট
জাম,জাংগুলা 
পারবো,পাইজ্জুম
তবে,তয় 
শহরে,শহোরত
যাই,যাই
যেয়ে,য্যাই
কেনার,কিনিবার 
সন্ধ্যায়,আজুইন্নে
কিনতে,কিনিতি
যায়,যায় 
কিনে,কিনি
নিস,লস
বানাস,বানছ
নাস্তা,নাস্তা
বানিয়েছে,বানাইয়্যে
বানিয়ে,বানাই
মজার,মজার
মজা,মজা
হায়াত,অয়াত
অত্যাচারীর,জালিমের
অত্যাচারী, জালিম
গেছি,গেয়্যি
অত্যাচার,জুলুম
কবুল,হবুল  
ফেনা,ফেনা
সাজেকে,সাজেকঅত
মহামানব,মহামানব
সাজার,সাজিবার
সেজে,সাজি
গাড়ি,গাড়ি
দেরি,দেরি
বয়সের,বয়সের
আমাদের ,অ্যাঁরার
সেটি,ইয়ান
আমাদেরকে,অ্যাঁরারে
আমরা,অ্যাঁরা
অবস্থা,অবস্থা   
শুদ্ধ,শুদ্ধ
মরা,মরা 
অবস্থায়,অবস্থাত
বান্ধবি,বান্ধবি 
আক্রান্ত,আক্রান্ত
ফেল,ফেলো
ফেলি,ফেল্যাই
নগরী,নগরী 
যেমন,যেল্লে
চেপে,চিবি
বুকের,বুহর
প্রতিষ্ঠান,প্রতিষ্টান
প্রতিষ্ঠিত,প্রতিষ্টিত
কক্সবাজার ,হক্সোবাযার
টানতে,টাইনতে 
বেশি,বেশি
বায়না,বায়না
স্রোতের,স্রোতর
পড়াতো,ফরাইতু
ঐটি,ঐয়ান
বাড়ানোর,বারাইবের
উনি/সে,ইতে
হয়ে,অই
তারপর,তারপর
তখন,তহন 
শুটকি,উঁনি
পরিবেশ,পরিবেশ
অল্প,অল্প 
টিকটকে, টিকটকওত 
তার,ইতার
প্রিয়,প্রিয় 
পাট,নাড়ি
অন্যজন,অন্যজন
জাহির,জাঁইর
পাখি,ফাখি 
পাখির,ফাখির
তারা,ইতারা
রাতের,রাইতের 
মরে,মরি
কৈ,হই
পাকা,পাক্কা
ঝর হলে,ঝর পইল্যে
ফাকে,পাকে
খিচুরি,খেচুরি
তলায়,তলায়
নিচে,তলাত
ফিরেও,ফিরিও 
ফিরে,ফিরি
রাবণের,রাবণর
নামে,নামে 
তৈলাক্ত,তেলতেইল্লে
প্রেম,ফিরিত
ব্যাঙের,ব্যাঙর 
সিদ্ধান্ত,সিদ্ধান্ত
প্রেমে,ফিরিতওত
প্রেমের,ফিরিতওর 
এমন,এন
পারতাম,ফ্যাইত্তাম
লাগাতে,লাগুন
ঘুরতে,ঘুরতে 
ফালতু,ফালতু 
পাহাড়,মুরা
বললে,হইল্যে
লাগালে,লাগাইলে 
হরিণ,অরিণ
খাবো,হাইয়্যুম 
ওঠে,উডে
যাচ্ছে,যার
মাসের,মাইস্যা
পরিচর্যা,পরিচর্যা
মেয়েদের,মাইয়্যাঅলর
দেই,দ্যি
ধোয়াসা,ধুয়োইস্যে
থাকে,থাহে
তাকে,ইতারে
ভরে,ভরি
ভাল্লুকের,ভালুকের 
শিখিয়েছে,শিকাইয়্যে 
বদমাইশি,বদমাইশি 
ভালবাসি,ভালবাসি
ভালবাসা,ভালবাসা 
থাক,থাহ
দূষণ,দূষণ
খপ্পর,হপ্পর
খপ্পরে,হপ্পরত 
সান্তনা,সান্তনা
ঝড়,ঝড়
ফুটানি,ফুডনি 
ঝড়ে,ঝড়ত
পাবো,পাইয়্যুম
ক্ষতি,ক্ষতি 
ভিজে,ভিজে 
ভিজলে,ভিজিলে 
খেতে,হাইতে
হাল চাষ,হাল চাষ
হলে,অইলে
শীতে,শীতত 
হল,অইল 
দিঘীতে,দিঘীত
ডাল,ডাইল
বন্ধুত্ব,বন্ধুত্ব
সোনার,সোনার
বিদেশি,বিদেশি
বিদেশে,বিদেশেত 
ছেলেকে,ফোয়ারে 
ঘটিয়ে,ঘটাই
কুমড়োর,অরির 
কুমড়ো,অরি
দেশে,দেশত  
ঝরে,ঝরত
শুধু,উধে
ক্ষমতা,ক্ষমতা
কেমন,ক্যান 
মাইর,মাইর
ডালে,ডাইলঅত
ডাল,ডাইল
থাকবো,থাইক্কুম
কান্নার,হান্দনের
কান্না,হান্দন
সরিষার,সইষ্যের
ছেলেমেয়েকে,ফোয়ামাইয়্যাগুন
মেয়েকে,মাইয়্যারে 
গত,গত 
পাস,ফাশ 
মধ্যে,মাজে
কানায়,হানায়
আলো,আলো
দুনিয়াতে,দুনিয়েত
দুনিয়া,দুনিয়ে
বর্ষা কালে,বর্ষা কাইল্যা
ধুয়ে,ধুই
অন্য,অন্য
অন্যের,অন্যর   
নাও,ল
পুরস্কার,পুরস্কার
করেছ,গইজ্জো
যদি,যদি
অন্যদিকে,অন্যমিক্কে 
তরকারি,ছালন
ছাড়িস,ছারস
টেকা,টিগন
মুশকিল,মুশকিল
করেছি,গইজ্জি
বমি,বমি 
সুন্দরি,সুন্দরি
করেছিস,গইজ্জু
জুতা,জুতা
জলদি,হারা
মার্জিত,মার্জিত
মুখ,মুক
রুচি,রুচি
জিনিসটি,জিনিসইবে 
মুখে,মুকে
মুখের,মুকের
ডাক্তারের,ডাক্তরর 
পূরণ,পূরণ 
গেছিস,গেইয়্যুস
প্রতিদিন,ফত্তিন
প্রতিদিনের,ফত্তিনর 
কুঠারর,কুঠারের 
দাও,দ
মন্দিরে,মন্দিরত  
পরিস,পরিস
পরিচয়,পরিচয়
পরিক্ষা,পরিক্কে
কালকে,হালিয়্যে
প্রথম,ফতম
পড়িয়ে,পড়াই
পত্র,ফত্র
বোরখা,বোরহা
পড়েছ,পইজ্জু
বাঁকা,বেহা 
ফুটিয়ে,ফুডায়
পুরো,ফুরো
পুরাতন,পুরাইন্না
নম্বর,লম্বর
জুড়িয়ে,জুড়াই
পেঁপে,কৈইয়া  
পাবে,ফাইবে
ঠাট্টায়,ঠাট্টাত
কিছু,কিসু
বুঝা,বুজা
সময়,সমত
চোখ,চুখ
সমাজে,সমাজত 
পরিবারে,পরিবারত
বুঝার,বুজিবের 
থাকলে,থায়লি    
বুঝতে,ঠওর 
থাকল,থাকিল
নামিয়ে,নামাই  
দুটো/দুইটি,দুয়ো
দুইটা,দুইয়্যান
বুঝি,বুজি
কারখানা,কারখানা
মানে,মানে 
বুঝবো,বুইজ্জুম
বুঝবি,বুঝিবি
কামানে,কামানত 
চোটে,চোডে
লাগিয়ে,লাগাই
প্রাচীনকালে,প্রাচীনকালত 
হরিণের,অরিণের
ধনুকে,ধনুকত
বাহিরে,বাইরে
প্রাচীন,প্রাচীন 
বাহির,বাইর 
বুঝবে,বুঝিবো
চিবোয়,ছাবাই
বিক্রি ,বেচি
বেচবো,বেইচ্চুম
দৌড়াদৌড়ি,দুরাদুরি
সারাদিন,গুডাদিন
সারাজীবন,গুডাজীবন
বেড়ায়,বেড়ায়
শয়তান,শতান
শয়তানি,শতানি 
চাল,চইল
চালের,চালঅর
জবাব,জোয়াব
দিবি,দিতি
বলতে,হইতে
এনে,আনি
খাবে,হাইব্যু
ধরেছি,দয়্যজ্জি
হলাম,অইলাম
নিবেন,লইবেন
ঔষধ,ওষধ
ঔষধের,ওষধর
কাগজ,কাগজ 
তেমন,ইল্লে
খাবার,হানা
নতুন,নয়া
লবণ,নুন
নিবে,লইবে
গড়গড়া,গড়গড়া
নিবা,লইবা
ধরে,ধরি
বত্রিশটা,বত্রিশ্যয়া
বুঝেছিস,বুইজ্জোস
ফেলে,ফেলায়
অবাক,অবাক
সবাই,বেজ্ঞুনে 
খুশি,খুশি 
ফেলেছি,ফেলাইয়্যি
কম্বল,হম্বল
রাখিস,রাহিস
কয়টা,কয়ডা
পর্যন্ত,পইযুন্ত
অপেক্ষার,অপেক্ষার
চর্বি,চরব
অপেক্ষায়,অপেক্ষাত
দাঁড়কাক,দাঁড়কাক 
অপেক্ষা,অপেক্ষা
শুনি,ফুনি
চড়ানো,চড়ান 
শুয়ে,লেডি
শুনার,পুনিবার
শুনা,পুনা
রাস্তায়,রাস্তাত
যাবে,যাইব্যু
যাবেন,যাইবেন
এসেছেন,আইসসুন
ধরবি,দরিবি
মোরগ,লাতাকুরো
মারতে,মারিত
পাই,ফাই  
করল,গরিল
নামাজে,নামাজত
পড়লে,পইল্লে 
বাঁকিয়ে,বাকাইয়ে 
দরদ,গরজ
সর্দারনী,সর্দারনী
দরদে,গরজে
এসেছে,আইসসে
ছুড়ে,মেলা
মারি,মারি
কোনদিন,হোনদিন
উড়ে,উড়ি
বদলে,বদল
বাচ্চাকে,ছারে
বাচ্চা,ছা
বাচ্চার,ছার 
রাতে,রাইতে 
যেত,যাইত্যু
শান্তিতে,শান্তিত
শান্তি,শান্তি
পুতুলের,পুতুলের
একটা,উজ্ঞো
শিয়ালের,শিয়ালর 
শিয়াল,শিয়াল
একটু,এক্কানা
যেতে,যাইতাম
হুজুর,উজুর 
বিরাতে,বিরাতত
হুশিয়ার,উশিয়ের
সারা,গুডা 
রাত,রাইত
সারারাত,গুডারাইত
সারাবছর,গুডাবছর 
মার্কেটে,মার্কেডেত
লাকড়ি,লাকড়ি 
মার্কেট,মার্কেড 
লাফ,ফাল
পালে,ফালে
বিড়ালের,বিলাইঅর 
বিড়াল,বিলাই
করোনার,করোনাত
মারবি,মারিবি
মারবে,মারিব্যু
ঘরের,ঘরর
ফেইল,ফেল
ঘুলির,ঘাডার
মানুষকে,মাইনসেরে 
মানুষের,মাইনসের
মানুষ,মানুষ
দয়াতে,দয়াত 
নিবো,লইইয়্যুম
খড়,খের
লাকড়ি,লাখড়ি
খায়,হায়
নেমে,লামি
মন্ত্রী,মন্ত্রী
মহিষ,মৈষ
এসে,আই
নৌকা,নাও 
নৌকাতে,নাওত
ডুবা,ডুবন  
ঘাটের,ঘাডর
ঘাটে,ঘাডত
ঘাড়,ঘাড়
ঘাড়ে,ঘাড়ত
চুলকাতে,হাজ্জইতে 
চরানো,চরান
চুল,চুল
যাস,যাস 
কষ্ট,কষ্ট 
পরের,ফরর
করেছিলাম,গইজ্জিলাম 
পর,ফর
ইঁদুর,উন্দুরে
খনন,খনন 
বিরিয়ানি,বিরেনি
সেখানে,ওডে
কাটলে,কাডিলে
শুরু,শুরু 
পরিস্কার,সাফ
দয়া,দয়া
লোহা,লোয়া
মোটামুটি,মোটামুটি
তাই,তাই
মেজ,মাইঝ্যা
পায়,পায়
মানুষগুলো,মানুষঅক্কল
কিসে,কিওত
স্বাধীনতা,স্বাধীনতা
পড়ল,পইজ্জে
টুকটুকে,টুইটুইক্কা
ঘুষের,ঘুষর
পুড়িয়ে,পোরাই
ঢঙের,ঢঙর 
মেজবান,মেজ্জান 
পড়েছে,ফইজ্জে
পুড়ে,ফুড়ি
গোড়া,গোড়া 
টাকা,টিঁয়া
টাকার,টিঁয়ার 
স্বপ্নে,খোয়াবে
স্বপ্নের,খোয়াবের
স্বপ্ন,খোয়াব
সামর্থ্য,সামর্থ্য 
সারাক্ষণ,আমিশখন
অচল,অচল  
সারাক্ষণের ,আমিশখনর
ছিল,আইসসিল
হিজড়া,ইজারা
রঙ্গে,রঙ্গত
নেয়,লয়
রঙ,রঙ
পায়চারি,পায়চারি
কাথা,কেথা
ছেচে,ছেঁচি
কাক,কাউয়া
কাঁঠাল,কাট্টল
বুঝে,বুজে
বুঝেছেন,বুঝন
মারবো,ফিট্টোম
মাঠ,মাঠ 
ফলের,ফলের
জরিমানা,জরিমানা
দুঃখ/ব্যাথা,দুক
দুঃখে,দুকে
ফুলকে,ফুলরে 
খবর,হবর 
ফুলের,ফুলের
আওয়াজ ,আবাজ 
খবরদার,হবরধার
কুকুরের,কুত্তার
কাঁদে,হাঁন্দে
গাল,গাল
গালে,গালত
বাঁকা,বেআ  
গালি,গাইল 
ধারে,ধারত
মহিলার,বেডির
মাহিলা,বেডি 
চুপ,চুপ
চুলায় ,চুলোত 
বলবি,হবি
সেকেন্ডে,সেকেন্ডত
সেই,হেই
গ্লাস,গেলাস 
চুরি,চুরি 
গ্লাসে,গেলাসত
চুরির,চুরির
বৃষ্টি,বৃষ্টি
বৃষ্টিতে,বৃষ্টিত
কারিগর,কারিগর 
ভাঙ্গা,ভাঙ্গা
প্রাসাদের,প্রাসাদর
চিৎকার,চিৎকার
কারিগরের,কারিগরর
চিকন,চিয়ুন
চিকিৎসক,বৈদ্য
এসব,এগিন
রোজ,নিত্ত
চড়বো,চইজ্জুম
কিসের,কিয়ের
পালন,ফালন
আগে,আগে 
পাল্লায়,পাল্লাই
পালবে,ফালিব্যু 
মিলে,মিলিয়ে
দোস্তি,দোস্তি
দেখিয়ে,দেহাই
বাবার ,বাপের
আগুন,অইন
মিলেমিশে,মিলিমিসি 
আসি,অ্যাই 
অহংকারী,দেমাগি
অহংকার,দেমাগ
অহংকারের,দেমাগের
উঠবে,উডিব্যু
ফোনের,ফোনর
আসে,অ্যাইয়ে
ধরেছে,ধইজ্জে
আসার,আইসসিল
উঠবি,উডিবি
মেহমান,মেমান
পুরষ্কার,পুরষ্কার
বিরক্ত,বিরক্ত
ঐজন্য,ইতেল্লা
যাস,যচ 
তোমরা,তোঁয়ারা
তোমাদের,তোঁয়ারার
অভ্যাস,অব্যাস  
আসছে,আইব্যু 
রাজপুত্ররা,রাজপুত্ররা 
দোয়া,দোয়া
দোয়ায়,দোয়াত  
পেট,পেট
পেটে,পেটেত 
জায়গা,জাগা
জায়গার,জাগার
টিকে,টিকে
এটির,ইবের  
আবার,আবার 
জায়গায়,জাগাত
এটিকে,ইবেরে
এটি,ইবে
গানে,গানত
বাগানের,বাগানর
বাগানে,বাগানত
দরজায়,দরজাত
কুড়াতে,পেঁড়াইতে
টেবিলের,টেবিলর
নেওয়া,লন
মায়ের,মার 
নেওয়ার,লনঅর 
সবকিছু,বেক্কিছু
সবকিছুর,বেক্কিছুর
রাখে,রাহে
নিশ্চিন্তে,নিশ্চিন্তে 
ডিম,দিম
রাখো,রাহ 
আগায়,আগাত  
করত,গইত্তু 
দেখার,দেহার
দেখাত,দেখাইত্যু
মুরগি,কুরো  
মুরগির,কুরোর  
গাছের,গাছর
গাছে,গাছেত 
মাটিতে,মেডিত 
জেগে,চেতন
খাস,হাস
দেওয়ার,দিবের
মাটির,মেডির 
মাটি,মেডি
পরবে,ফইত্ত
লাটসাহেবের,লাটসাহেবর 
জানলাম,জানিলাম
দেওয়া,দিবে
প্রতিযোগিতায়,প্রতিযোগিতাত
কখনো ,হনঅত্তে
কখন,কহন
প্রজন্মের,ফ্রজন্মর
কম,হম
আত্নহারা,আত্নহারা
মগ্ন,মগ্ন 
বানাতো,বানাইত্যু  
বানাতে,বানাইতু
মঞ্চ,মনছ
তোলে,তুলে
পাতা,পাতা
তুলে,তুলি 
দিও,দিও  
নরম,নরম
বিনাশ্রমে,বিনাশ্রমত 
এরকম,এরম 
তুলতে,তুলিত
একমাত্র,একমাত্র 
চেয়েছি,চাইলাম
চাইতে,চাইত
পানাহ,ফানা
কমে,হমে
গিয়ে,গিয়্যি
দোকানে,দোকানত
মাতামাতি,মাতামাতি
এরজন্য,এতোল্লাই
আগের,আগুর 
দেশের,দেশর 
তাদের,ইতারার
চেষ্টা,চেষ্টা
জাদু,জাদু
জাগিয়ে,জাগিয়ে
তাদেরকে,ইতারারে
জানিস,জানোস 
হৃদয়,দিল
দিয়েছে,দিইয়্যি 
পারবে,ফাইত্ত
ঢেলে,ঢালি
জানো,জানো
ধর্মে,ধর্মেত
অনির্বানের,অনির্বানর
পারার,ফারিবের
গাইবার,গাইবের
একত্র,একত্তর
অনেকক্ষণ,বহুতক্ষণ 
গেলাম,গেলাম
রসালো,রসাল্লো
হই,ওই
সমস্যা,সমস্যা
সমস্যায়,সমস্যাত
পাছায়,পুন্দুত
যা,যা 
ময়লা,হাছাড়া
চাকর,চাকর
ফেরী,ফেরী
চাকরকে,চাকররে
থামে,থামে
গেলে,গ্যিলে
সুন্দরী,সুন্দরী
এসেছিল,আইচ্ছিল
ইচ্ছা,ইচ্ছা
এসেছি,আইচ্ছি
গেল,গিল
বাজারে,বাজারত 
পারলে,পারিলে 
মারার ,মারাইবের
এসেছ,আইস্সো
আচ্ছা,আইচ্ছা 
পর্দা,পদ্দা
কানুন,কানুন
এসেছিস,আইচ্চুস
ঠাণ্ডা,টান্ডা
করবো,গইজ্জুম
পেরিয়ে,ফারওই
বাতাস,বাতাস 
পার,ফার 
বাতাসের,বাতাসর
রূপে,রূপত
জানোয়ারকে,জানোয়াররে 
রূপের,রূপর  
আনন্দিত,আনন্দিত 
পারে,ফারে
ব্যাপার,ব্যাফার 
গ্রুপের,গ্রুফুর  
মাধ্যমে,মাইধ্যমে
ব্যাপারে,ব্যাফারে
তাড়াতাড়ি,হারা   
পারবেন,ফারিবেন
করবেন,গরিবেন
জানতে,জানিত
তৈরির,বানাইতু 
দেবার,দিবেল
লিখে,লিহে
চলল,চলিলো
লেখা,লেহা
পানিতে,পানিত 
উপরে,উদ্দি
মিষ্টি,মিডে
কুসুম কুসুম,কুমকুম
পানি,পানি 
আঙুল,আঙুল
পানের,ফানের
পান,ফান
পোহালে,ফোয়াইলেই
লাগবে,লাইব্যু
বুদ্ধি,বুদ্ধি
ক্লান্ত,ক্লান্ত
গোষ্ঠী,গুষ্টি
কুবুদ্ধি,কুবুদ্ধি
পারো,ফারো
সুখী,সুখী 
গোবর,গোঅর
মত,নান
বুড়ি,বুড়ি
টিপ,টিপ
লাঠি,লাডি
বেয়াদপ,বিয়াদপ
টিপে,চিবি
যুগের,যুগর
ফেলতাম,ফেলাইতাম
হত.,অইত্যু
হতে,অইত
ছোট্ট,গুঁড়া
খালি,হাইল্ল্যা
উদ্দেশ্য,উদ্দেশ্য
ছোট,ছোড
মগজে,মগজত
ছোটবেলা,ছোডবেলা
বাঁদর,বাঁদর 
খালুর,হালুর
খালু,হালুর
শিকারী,শিকারী
শিকারীর,শিকারীর
নিয়ে,লইয়্যে
শিকার,শিকার 
সুখে,সুখত 
জোড়া/জমজ,জইক্কা
ব্যবসায়ী,ব্যবসায়ী
বড়,ডঁর 
খেয়ো,হাইস 
বরফের,বরফের
খাবি,হাবি
বুড়ো,ব্যুইড়া
লজ্জা,লাজ
লজ্জায়,লাজে
বেহায়ার,বেহাইয়্যার
সুগন্ধে,হুশবত
বাঁচায়,বাঁচায়
বাটা,বাইট্টে
ভোরে,পইত্তে
শেষে,শেষে
পিঁপড়া,ফিঁয়ারা 
ডেকে,ডাহি
শেষের,শেষর
বাধবো,বাইন্দুম
পাঠাতে,ফাঠাতে
তৃষ্ণায়,তিরাইষ্যাত
তৃষ্ণা,তিরাইষ্যা
বানালে,বানাইলে
কেটে,হাডি
পাগলের,পলের 
পাগল,পল
বাঁচাবে,বাঁচাইবে 
ঘাটাঘাটি,ঘাডাঘাডি 
বানিয়েছিস,বানাইয়্যুস
যারা,যারা
ডাক,ডাক
দেয়ালের,দেয়ালর
মালিককে,মালিকরে
বাঁচতে,বাঁচিত
ডাকাডাকি,ডাহাডাহি
দেয়,দে
দেয়া,দওন
খেয়াল,খিয়াল
পাকিয়ে,পাকায়
রয়েছে,রইয়্যে  
বরই,বরই 
ফাটালি ,ফাডাইল্যি   
ফুটফুটে,ফুইটফুইট্টা
প্রিন্টের,ফ্রিন্টর
কামিজ,খামিস
মাউলানা,মুলিছাফ 
উৎসব,উৎসব
উপকার,উপকার
উপায়,উপায়
